RandomEmployee{lastName='HOCHSTETTER', firstName='MERCEDES', hoursWorked=32, rateDouble='9.278868153149268', idNum=1, age=25, sex=female, nickName='MERCEDES', numDependents='4', grossPay='296.9237809007766', overTime='false'}
RandomEmployee{lastName='ELIZABETH', firstName='TRISHA', hoursWorked=39, rateDouble='25.55363804294858', idNum=2, age=64, sex=female, nickName='TRISHA', numDependents='0', grossPay='996.5918836749946', overTime='false'}
RandomEmployee{lastName='HAROLDSON', firstName='NIKKI', hoursWorked=44, rateDouble='6.834644921155458', idNum=3, age=42, sex=female, nickName='NIKKI', numDependents='1', grossPay='300.7243765308401', overTime='true'}
RandomEmployee{lastName='ZALEWSKI', firstName='REUBEN', hoursWorked=58, rateDouble='1.7563114758865535', idNum=4, age=21, sex=male, nickName='REUBEN', numDependents='1', grossPay='101.8660656014201', overTime='true'}
RandomEmployee{lastName='PICKELL', firstName='JOHNATHON', hoursWorked=79, rateDouble='25.507509735992134', idNum=5, age=20, sex=male, nickName='JOHNATHON', numDependents='2', grossPay='2015.0932691433786', overTime='true'}
RandomEmployee{lastName='TALMADGE', firstName='EVANGELINA', hoursWorked=63, rateDouble='19.813360245061517', idNum=6, age=48, sex=female, nickName='EVANGELINA', numDependents='4', grossPay='1248.2416954388755', overTime='true'}
RandomEmployee{lastName='CATCHING', firstName='KATHIE', hoursWorked=36, rateDouble='22.91281322045183', idNum=7, age=59, sex=female, nickName='KATHIE', numDependents='3', grossPay='824.8612759362659', overTime='false'}
RandomEmployee{lastName='MUNSHOWER', firstName='GENEVIEVE', hoursWorked=31, rateDouble='9.0975118552191', idNum=8, age=22, sex=female, nickName='GENEVIEVE', numDependents='4', grossPay='282.0228675117921', overTime='false'}
RandomEmployee{lastName='BAZZELL', firstName='MARLA', hoursWorked=23, rateDouble='1.65398502271663', idNum=9, age=35, sex=female, nickName='MARLA', numDependents='5', grossPay='38.041655522482486', overTime='false'}
RandomEmployee{lastName='CLARK', firstName='CORRINE', hoursWorked=31, rateDouble='18.928982648103837', idNum=10, age=61, sex=female, nickName='CORRINE', numDependents='3', grossPay='586.798462091219', overTime='false'}
RandomEmployee{lastName='BOWDITCH', firstName='SALVATORE', hoursWorked=59, rateDouble='6.327168360657139', idNum=11, age=61, sex=male, nickName='SALVATORE', numDependents='2', grossPay='373.3029332787712', overTime='true'}
RandomEmployee{lastName='MIRANDA', firstName='KENYA', hoursWorked=31, rateDouble='17.25859398751552', idNum=12, age=44, sex=female, nickName='KENYA', numDependents='3', grossPay='535.0164136129812', overTime='false'}
RandomEmployee{lastName='COGGESHALL', firstName='LEIGH', hoursWorked=57, rateDouble='23.834561233311497', idNum=13, age=33, sex=female, nickName='LEIGH', numDependents='0', grossPay='1358.5699902987553', overTime='true'}
RandomEmployee{lastName='MACKNEY', firstName='NAPOLEON', hoursWorked=61, rateDouble='20.715540041105086', idNum=14, age=38, sex=male, nickName='NAPOLEON', numDependents='4', grossPay='1263.6479425074103', overTime='true'}
RandomEmployee{lastName='DIETL', firstName='LYNWOOD', hoursWorked=21, rateDouble='13.241651176680604', idNum=15, age=52, sex=male, nickName='LYNWOOD', numDependents='5', grossPay='278.0746747102927', overTime='false'}
RandomEmployee{lastName='SANAGUSTIN', firstName='DANIELA', hoursWorked=25, rateDouble='13.419567402778094', idNum=16, age=39, sex=female, nickName='DANIELA', numDependents='2', grossPay='335.48918506945233', overTime='false'}
RandomEmployee{lastName='LUCIANO', firstName='DOYLE', hoursWorked=33, rateDouble='24.641095719114716', idNum=17, age=42, sex=male, nickName='DOYLE', numDependents='0', grossPay='813.1561587307856', overTime='false'}
RandomEmployee{lastName='ESHENBRENNER', firstName='ALEXANDER', hoursWorked=58, rateDouble='15.106717478965075', idNum=18, age=30, sex=male, nickName='ALEXANDER', numDependents='3', grossPay='876.1896137799744', overTime='true'}
RandomEmployee{lastName='DREY', firstName='TANIA', hoursWorked=74, rateDouble='20.807261941354927', idNum=19, age=53, sex=female, nickName='TANIA', numDependents='2', grossPay='1539.7373836602646', overTime='true'}
RandomEmployee{lastName='VANCAMP', firstName='AMPARO', hoursWorked=52, rateDouble='20.860968864573863', idNum=20, age=49, sex=female, nickName='AMPARO', numDependents='1', grossPay='1084.7703809578409', overTime='true'}
RandomEmployee{lastName='ASHMEAD', firstName='SHELDON', hoursWorked=68, rateDouble='15.840501938503742', idNum=21, age=51, sex=male, nickName='SHELDON', numDependents='4', grossPay='1077.1541318182544', overTime='true'}
RandomEmployee{lastName='BEISSER', firstName='LETTIE', hoursWorked=36, rateDouble='5.081018021360042', idNum=22, age=48, sex=female, nickName='LETTIE', numDependents='1', grossPay='182.91664876896152', overTime='false'}
RandomEmployee{lastName='SHELLMAN', firstName='MILAN', hoursWorked=39, rateDouble='16.509014873691267', idNum=23, age=20, sex=male, nickName='MILAN', numDependents='5', grossPay='643.8515800739594', overTime='false'}
RandomEmployee{lastName='ELFERS', firstName='EUGENIA', hoursWorked=24, rateDouble='11.242104969330901', idNum=24, age=59, sex=female, nickName='EUGENIA', numDependents='5', grossPay='269.8105192639416', overTime='false'}
RandomEmployee{lastName='LONIE', firstName='ARDEN', hoursWorked=23, rateDouble='19.598688075447594', idNum=25, age=30, sex=male, nickName='ARDEN', numDependents='2', grossPay='450.76982573529466', overTime='false'}
RandomEmployee{lastName='MEDERIOS', firstName='MARYJANE', hoursWorked=33, rateDouble='11.537205176481404', idNum=26, age=51, sex=female, nickName='MARYJANE', numDependents='3', grossPay='380.7277708238863', overTime='false'}
RandomEmployee{lastName='GILMARTIN', firstName='LESA', hoursWorked=28, rateDouble='7.277606596800803', idNum=27, age=52, sex=female, nickName='LESA', numDependents='4', grossPay='203.7729847104225', overTime='false'}
RandomEmployee{lastName='ZNIDARSIC', firstName='BRUCE', hoursWorked=50, rateDouble='16.600066775944057', idNum=28, age=46, sex=male, nickName='BRUCE', numDependents='5', grossPay='830.0033387972029', overTime='true'}
RandomEmployee{lastName='BOLING', firstName='FAITH', hoursWorked=22, rateDouble='17.271944511687728', idNum=29, age=35, sex=female, nickName='FAITH', numDependents='5', grossPay='379.98277925713', overTime='false'}
RandomEmployee{lastName='LUKAS', firstName='CHARLIE', hoursWorked=79, rateDouble='20.22449935702148', idNum=30, age=31, sex=female, nickName='CHARLIE', numDependents='4', grossPay='1597.7354492046968', overTime='true'}
